x coordinate,y coordinate,z coordinate,Wifi ID,Wifi RSS,File name
5.0,74.0,3.0,2c:0b:e9:c2:da:0b,-45,316667434998981.csv
5.0,74.0,3.0,2c:0b:e9:c2:da:02,-46,316667434998981.csv
5.0,74.0,3.0,2c:0b:e9:c2:da:01,-46,316667434998981.csv
5.0,74.0,3.0,2c:0b:e9:c2:da:06,-46,316667434998981.csv
5.0,74.0,3.0,2c:0b:e9:c2:da:05,-46,316667434998981.csv
5.0,74.0,3.0,2c:0b:e9:c2:da:04,-46,316667434998981.csv
5.0,74.0,3.0,2c:0b:e9:c2:da:0a,-53,316667434998981.csv
5.0,74.0,3.0,2c:0b:e9:c2:da:0f,-53,316667434998981.csv
5.0,74.0,3.0,2c:0b:e9:c2:da:0c,-53,316667434998981.csv
5.0,74.0,3.0,2c:0b:e9:c2:da:0d,-54,316667434998981.csv
5.0,74.0,3.0,00:b6:70:65:ce:ed,-61,316667434998981.csv
5.0,74.0,3.0,00:b6:70:65:ce:ee,-61,316667434998981.csv
5.0,74.0,3.0,00:b6:70:65:ce:e3,-63,316667434998981.csv
5.0,74.0,3.0,00:b6:70:65:ce:e0,-63,316667434998981.csv
5.0,74.0,3.0,00:b6:70:65:ce:e2,-63,316667434998981.csv
5.0,74.0,3.0,00:b6:70:65:ce:e1,-64,316667434998981.csv
5.0,74.0,3.0,2c:0b:e9:c7:2a:25,-68,316667434998981.csv
5.0,74.0,3.0,2c:0b:e9:c7:2a:21,-69,316667434998981.csv
5.0,74.0,3.0,2c:0b:e9:c6:e1:85,-71,316667434998981.csv
5.0,74.0,3.0,2c:0b:e9:c7:2a:2b,-72,316667434998981.csv
5.0,74.0,3.0,2c:0b:e9:c7:2a:2f,-73,316667434998981.csv
5.0,74.0,3.0,2c:0b:e9:c7:2a:2a,-73,316667434998981.csv
5.0,74.0,3.0,2c:0b:e9:c7:2a:2c,-73,316667434998981.csv
5.0,74.0,3.0,2c:0b:e9:c7:2a:2d,-73,316667434998981.csv
5.0,74.0,3.0,34:f8:e7:bf:d1:40,-73,316667434998981.csv
5.0,74.0,3.0,34:f8:e7:bf:d1:41,-73,316667434998981.csv
5.0,74.0,3.0,34:f8:e7:bf:d1:42,-73,316667434998981.csv
5.0,74.0,3.0,34:f8:e7:bf:d1:43,-74,316667434998981.csv
5.0,74.0,3.0,c0:4a:00:f5:96:18,-77,316667434998981.csv
5.0,74.0,3.0,2c:0b:e9:c6:e1:8b,-79,316667434998981.csv
5.0,74.0,3.0,2c:0b:e9:c6:e1:8d,-79,316667434998981.csv
5.0,74.0,3.0,2c:0b:e9:c6:e1:8a,-80,316667434998981.csv
5.0,74.0,3.0,2c:0b:e9:c6:e1:8f,-80,316667434998981.csv
